gidro_num,identifier,dt,temp,temptype
1802,25121,1995-01-03,-36.1,Мин. температура
1802,25121,1995-01-16,-29.7,Макс. температура
1802,25121,1995-01-18,-40.2,Мин. температура
1802,25121,1995-02-04,-14.5,Макс. температура
1802,25121,1995-05-08,-4.2,Макс. температура
1802,25121,1995-06-07,14.6,Макс. температура
1802,25121,1995-07-06,15.0,Макс. температура
1802,25121,1995-08-05,12.3,Макс. температура
1802,25121,1995-08-28,16.6,Макс. температура
1802,25121,1995-08-30,19.1,Макс. температура
1802,25121,1995-10-25,-20.2,Мин. температура
1802,25121,1997-08-13,19.1,Макс. температура
1802,25121,1997-08-13,3.3,Мин. температура
1802,25121,1998-03-31,-27.6,Мин. температура
1802,25121,1998-06-28,0.5,Мин. температура
1802,25121,1998-07-08,0.0,Мин. температура
1802,25121,1998-10-15,-17.1,Мин. температура
1802,25121,1998-11-03,-26.0,Макс. температура
1802,25121,1998-11-04,-32.2,Мин. температура
1802,25121,1998-11-22,-24.0,Мин. температура
1802,25121,1998-11-27,-29.6,Мин. температура
1802,25121,1998-12-21,-29.2,Макс. температура
1802,25121,1999-03-27,-22.8,Макс. температура
1802,25121,1999-05-23,-7.1,Мин. температура
1802,25121,1999-07-30,12.0,Макс. температура
1802,25121,1999-10-31,-17.4,Макс. температура
1802,25121,1999-11-08,-30.2,Мин. температура
1802,25121,1999-11-28,-37.8,Мин. температура
1802,25121,1999-12-19,-23.8,Макс. температура
1802,25121,2000-02-03,-31.9,Макс. температура
1802,25121,2000-02-18,-30.4,Мин. температура
1802,25121,2000-03-16,-34.0,Мин. температура
1802,25121,2000-04-16,-8.4,Мин. температура
1802,25121,2000-05-06,-12.6,Мин. температура
1802,25121,2000-05-12,5.4,Макс. температура
1802,25121,2000-05-22,5.0,Макс. температура
1802,25121,2000-05-25,9.7,Макс. температура
1802,25121,2000-07-06,4.2,Мин. температура
1802,25121,2000-07-30,8.1,Мин. температура
1802,25121,2000-08-31,6.6,Макс. температура
1802,25121,2000-12-19,-25.0,Макс. температура
1802,25121,2001-01-13,-43.4,Мин. температура
1802,25121,2001-01-15,-41.4,Макс. температура
1802,25121,2001-01-25,-31.3,Мин. температура
1802,25121,2001-01-27,-34.6,Мин. температура
1802,25121,2001-02-03,-36.0,Мин. температура
1802,25121,2001-02-05,-33.3,Макс. температура
1802,25121,2001-02-13,-33.5,Мин. температура
1802,25121,2001-02-18,-40.8,Мин. температура
1802,25121,2001-06-02,15.2,Макс. температура
1802,25121,2001-06-23,3.6,Макс. температура
1802,25121,2001-08-22,11.0,Макс. температура
1802,25121,2001-09-05,10.9,Макс. температура
1802,25121,2001-09-22,-4.0,Мин. температура
1802,25121,2001-09-24,-2.2,Мин. температура
1802,25121,2001-10-30,-18.2,Макс. температура
1802,25121,2001-12-23,-30.8,Макс. температура
1802,25121,2002-02-05,-53.0,Мин. температура
1802,25121,2002-02-20,-26.1,Макс. температура
1802,25121,2002-02-25,-36.7,Мин. температура
1802,25121,2002-02-27,-25.4,Макс. температура
1802,25121,2002-03-08,-7.9,Макс. температура
1802,25121,2002-03-27,-14.6,Макс. температура
1802,25121,2002-05-27,13.3,Макс. температура
1802,25121,2002-08-23,2.2,Мин. температура
1802,25121,2002-09-27,-3.5,Мин. температура
1802,25121,2002-10-09,-4.9,Макс. температура
1802,25121,2002-11-08,-16.6,Мин. температура
1802,25121,2002-12-04,-20.1,Макс. температура
1802,25121,2003-02-13,-22.0,Макс. температура
1802,25121,2003-03-08,-27.7,Мин. температура
1802,25121,2003-03-09,-16.5,Макс. температура
1802,25121,2003-03-30,-9.1,Макс. температура
1802,25121,2003-04-10,-19.8,Макс. температура
1802,25121,2003-05-01,3.5,Макс. температура
1802,25121,2003-07-09,15.4,Мин. температура
1802,25121,2003-08-19,8.7,Макс. температура
1802,25121,2003-09-27,0.5,Мин. температура
1802,25121,2003-11-29,-29.3,Макс. температура
1802,25121,2003-12-02,-32.5,Мин. температура
1802,25121,2003-12-30,-26.4,Макс. температура
1802,25121,2004-01-28,-33.6,Мин. температура
1802,25121,2004-02-15,-28.4,Макс. температура
1802,25121,2004-02-28,-31.2,Мин. температура
1802,25121,2004-03-01,-29.5,Макс. температура
1802,25121,2004-04-07,-21.0,Макс. температура
1802,25121,2004-04-13,-7.2,Макс. температура
1802,25121,2004-06-12,22.2,Макс. температура
1802,25121,2004-07-12,13.8,Макс. температура
1802,25121,2004-07-13,10.0,Макс. температура
1802,25121,2004-07-14,3.9,Мин. температура
1802,25121,2004-07-17,7.2,Макс. температура
1802,25121,2004-07-25,5.2,Мин. температура
1802,25121,2004-09-20,2.0,Мин. температура
1802,25121,2004-10-01,1.5,Макс. температура
1802,25121,2004-11-30,-17.8,Макс. температура
1802,25121,2004-12-16,-30.4,Макс. температура
1802,25121,2004-12-24,-28.0,Макс. температура
1802,25121,1995-01-09,-36.4,Мин. температура
1802,25121,1995-01-16,-38.7,Мин. температура
1802,25121,1995-02-07,-20.0,Макс. температура
1802,25121,1995-02-13,-27.8,Мин. температура
1802,25121,1995-02-27,-33.3,Макс. температура
1802,25121,1995-03-14,-32.7,Мин. температура
1802,25121,1995-04-01,-29.6,Мин. температура
1802,25121,1995-04-23,-13.5,Макс. температура
1802,25121,1995-04-28,-15.3,Мин. температура
1802,25121,1995-04-29,-10.1,Макс. температура
1802,25121,1995-06-05,17.0,Макс. температура
1802,25121,1995-07-14,12.0,Макс. температура
1802,25121,1995-07-19,8.3,Мин. температура
1802,25121,1995-08-17,4.0,Мин. температура
1802,25121,1997-09-22,-1.4,Макс. температура
1802,25121,1997-09-25,-3.2,Макс. температура
1802,25121,1997-11-07,-12.6,Макс. температура
1802,25121,1997-11-28,-41.8,Мин. температура
1802,25121,1997-12-10,-35.4,Макс. температура
1802,25121,1997-12-12,-41.1,Макс. температура
1802,25121,1998-01-31,-39.0,Макс. температура
1802,25121,1998-03-15,-26.9,Макс. температура
1802,25121,1998-04-28,-12.9,Макс. температура
1802,25121,1998-05-01,-15.1,Макс. температура
1802,25121,1998-05-18,-6.0,Макс. температура
1802,25121,1998-05-20,-8.7,Мин. температура
1802,25121,1998-07-04,1.3,Мин. температура
1802,25121,1998-07-07,1.0,Мин. температура
1802,25121,1998-09-20,-1.0,Макс. температура
1802,25121,1998-10-20,-24.0,Мин. температура
1802,25121,1998-11-07,-32.0,Мин. температура
1802,25121,1999-01-21,-35.3,Макс. температура
1802,25121,1999-02-11,-40.4,Мин. температура
1802,25121,1999-03-08,-21.0,Макс. температура
1802,25121,1999-03-09,-27.7,Мин. температура
1802,25121,1999-04-05,-26.4,Макс. температура
1802,25121,1999-04-07,-32.1,Мин. температура
1802,25121,1999-04-15,-33.0,Мин. температура
1802,25121,1999-06-07,4.0,Макс. температура
1802,25121,1999-07-10,14.0,Макс. температура
1802,25121,1999-07-19,4.2,Мин. температура
1802,25121,1999-08-07,3.6,Мин. температура
1802,25121,1999-08-29,1.1,Мин. температура
1802,25121,1999-11-22,-36.9,Мин. температура
1802,25121,1999-12-04,-38.6,Мин. температура
1802,25121,1999-12-09,-35.1,Макс. температура
1802,25121,2000-01-02,-36.4,Мин. температура
1802,25121,2000-02-20,-25.1,Макс. температура
1802,25121,2000-03-26,-36.1,Мин. температура
1802,25121,2000-04-25,-15.1,Макс. температура
1802,25121,2000-06-03,0.4,Мин. температура
1802,25121,2000-06-23,5.4,Мин. температура
1802,25121,2000-08-08,16.9,Макс. температура
1802,25121,2000-09-01,12.5,Макс. температура
1802,25121,2000-09-21,6.0,Макс. температура
1802,25121,2000-10-26,-22.0,Мин. температура
1802,25121,2000-11-28,-28.3,Макс. температура
1802,25121,2000-12-11,-18.0,Мин. температура
1802,25121,2001-01-06,-36.3,Макс. температура
1802,25121,2001-04-08,-29.5,Мин. температура
1802,25121,2001-04-13,-11.7,Макс. температура
1802,25121,2001-06-15,7.4,Макс. температура
1802,25121,2001-06-20,15.9,Макс. температура
1802,25121,2001-07-07,15.0,Мин. температура
1802,25121,2001-07-30,12.0,Мин. температура
1802,25121,2001-08-02,5.4,Мин. температура
1802,25121,2001-08-24,3.4,Мин. температура
1802,25121,2001-09-10,-3.1,Мин. температура
1802,25121,2001-10-22,-18.7,Мин. температура
1802,25121,2002-01-02,-17.8,Макс. температура
1802,25121,2002-01-03,-27.4,Макс. температура
1802,25121,2002-01-22,-36.6,Мин. температура
1802,25121,2002-02-04,-50.6,Мин. температура
1802,25121,2002-02-22,-42.0,Макс. температура
1802,25121,2002-03-20,-25.0,Мин. температура
1802,25121,2002-07-14,15.8,Макс. температура
1802,25121,2002-07-27,26.1,Макс. температура
1802,25121,2002-08-22,6.7,Макс. температура
1802,25121,2002-09-24,4.3,Макс. температура
1802,25121,2002-11-02,-12.3,Макс. температура
1802,25121,2002-12-08,-17.5,Макс. температура
1802,25121,2002-12-28,-45.3,Мин. температура
1802,25121,2003-01-02,-25.3,Макс. температура
1802,25121,2003-01-14,-41.2,Мин. температура
1802,25121,2003-02-09,-42.2,Мин. температура
1802,25121,2003-03-11,-19.2,Макс. температура
1802,25121,2003-05-29,3.1,Макс. температура
1802,25121,2003-05-31,2.4,Макс. температура
1802,25121,2003-06-19,0.3,Мин. температура
1802,25121,2003-06-28,18.1,Макс. температура
1802,25121,2003-07-20,20.5,Макс. температура
1802,25121,2003-08-11,5.5,Мин. температура
1802,25121,2003-08-13,1.4,Мин. температура
1802,25121,2003-11-04,-9.5,Макс. температура
1802,25121,2003-11-05,-18.6,Мин. температура
1802,25121,2003-11-08,-17.3,Мин. температура
1802,25121,2003-11-15,-26.1,Мин. температура
1802,25121,2003-11-25,-35.6,Мин. температура
1802,25121,2003-12-28,-25.6,Макс. температура
1802,25121,2004-02-08,-37.5,Макс. температура
1802,25121,2004-02-20,-39.3,Мин. температура
1802,25121,2004-02-25,-35.4,Макс. температура
1802,25121,2004-03-17,-12.0,Макс. температура
1802,25121,2004-03-23,-22.4,Мин. температура
1802,25121,2004-04-22,-19.6,Мин. температура
1802,25121,2004-07-05,9.3,Мин. температура
1802,25121,2004-08-05,9.7,Макс. температура
1802,25121,2004-09-21,1.3,Мин. температура
1802,25121,2004-10-28,-30.4,Мин. температура
1802,25121,2004-11-09,-20.0,Макс. температура
1802,25121,2004-11-24,-24.8,Мин. температура
1802,25121,1995-02-26,-38.8,Мин. температура
1802,25121,1995-05-25,8.2,Макс. температура
1802,25121,1995-08-27,9.0,Макс. температура
1802,25121,1995-08-29,5.4,Мин. температура
1802,25121,1995-09-21,2.0,Макс. температура
1802,25121,1995-09-23,0.7,Макс. температура
1802,25121,1995-09-30,1.9,Макс. температура
1802,25121,1995-10-05,-1.7,Макс. температура
1802,25121,1995-11-10,-14.7,Мин. температура
1802,25121,1995-11-13,-24.3,Мин. температура
1802,25121,1995-11-19,-26.5,Макс. температура
1802,25121,1995-12-13,-26.1,Мин. температура
1802,25121,1995-12-28,-37.5,Макс. температура
1802,25121,1997-09-14,1.0,Макс. температура
1802,25121,1997-10-15,-9.2,Мин. температура
1802,25121,1997-10-23,-21.5,Мин. температура
1802,25121,1997-10-25,-16.8,Макс. температура
1802,25121,1997-12-15,-31.1,Макс. температура
1802,25121,1997-12-24,-35.9,Макс. температура
1802,25121,1998-01-13,-28.3,Макс. температура
1802,25121,1998-02-07,-26.2,Макс. температура
1802,25121,1998-02-18,-40.5,Мин. температура
1802,25121,1998-02-22,-37.2,Макс. температура
1802,25121,1998-02-26,-35.0,Макс. температура
1802,25121,1998-03-04,-40.3,Мин. температура
1802,25121,1998-04-20,-27.2,Мин. температура
1802,25121,1998-05-19,-1.9,Макс. температура
1802,25121,1998-07-23,2.9,Мин. температура
1802,25121,1998-08-01,3.9,Мин. температура
1802,25121,1998-08-20,1.9,Мин. температура
1802,25121,1998-08-31,10.1,Макс. температура
1802,25121,1998-09-10,-0.3,Мин. температура
1802,25121,1998-10-28,-14.9,Макс. температура
1802,25121,1998-11-13,-15.3,Мин. температура
1802,25121,1998-11-22,-18.5,Макс. температура
1802,25121,1998-11-28,-36.9,Мин. температура
1802,25121,1998-12-10,-43.9,Мин. температура
1802,25121,1998-12-11,-45.9,Мин. температура
1802,25121,1999-02-21,-32.4,Макс. температура
1802,25121,1999-03-25,-20.0,Макс. температура
1802,25121,1999-03-25,-27.0,Мин. температура
1802,25121,1999-04-14,-20.3,Макс. температура
1802,25121,1999-05-02,-9.0,Макс. температура
1802,25121,1999-05-08,0.8,Макс. температура
1802,25121,1999-07-18,4.0,Мин. температура
1802,25121,1999-08-30,6.0,Мин. температура
1802,25121,1999-10-08,-5.2,Мин. температура
1802,25121,1999-10-27,-6.5,Макс. температура
1802,25121,1999-11-26,-34.5,Мин. температура
1802,25121,1999-12-02,-27.0,Макс. температура
1802,25121,1999-12-13,-39.0,Макс. температура
1802,25121,1999-12-26,-40.6,Мин. температура
1802,25121,1999-12-29,-41.0,Мин. температура
1802,25121,2000-02-24,-37.6,Макс. температура
1802,25121,2000-05-23,-5.5,Мин. температура
1802,25121,2000-05-29,-0.4,Макс. температура
1802,25121,2000-07-31,5.0,Мин. температура
1802,25121,2000-08-19,6.6,Макс. температура
1802,25121,2000-09-24,0.4,Макс. температура
1802,25121,2000-11-01,-16.6,Мин. температура
1802,25121,2001-01-18,-32.2,Макс. температура
1802,25121,2001-02-09,-22.6,Макс. температура
1802,25121,2001-03-16,-32.7,Макс. температура
1802,25121,2001-04-11,-27.2,Мин. температура
1802,25121,2001-04-27,5.0,Макс. температура
1802,25121,2001-05-13,4.6,Макс. температура
1802,25121,2001-06-16,-0.3,Мин. температура
1802,25121,2001-06-24,0.3,Мин. температура
1802,25121,2001-08-15,7.4,Макс. температура
1802,25121,2001-09-03,3.4,Мин. температура
1802,25121,2001-09-11,3.8,Макс. температура
1802,25121,2001-09-17,2.1,Макс. температура
1802,25121,2001-09-23,-4.0,Мин. температура
1802,25121,2001-09-24,0.0,Макс. температура
1802,25121,2001-10-13,-12.3,Мин. температура
1802,25121,2001-12-19,-32.2,Макс. температура
1802,25121,2002-01-31,-43.6,Макс. температура
1802,25121,2002-02-12,-41.9,Мин. температура
1802,25121,2002-03-04,-25.4,Макс. температура
1802,25121,2002-04-04,-9.2,Мин. температура
1802,25121,2002-04-12,-22.8,Мин. температура
1802,25121,2002-04-27,-6.6,Макс. температура
1802,25121,2002-05-05,-14.4,Мин. температура
1802,25121,2002-05-16,-11.1,Мин. температура
1802,25121,2002-05-29,0.1,Мин. температура
1802,25121,2002-06-15,8.1,Мин. температура
1802,25121,2002-09-02,11.4,Макс. температура
1802,25121,2002-09-09,13.1,Макс. температура
1802,25121,2002-10-20,-8.6,Мин. температура
1802,25121,2003-01-06,-35.8,Мин. температура
1802,25121,2003-02-01,-44.1,Мин. температура
1802,25121,2003-02-11,-30.5,Макс. температура
1802,25121,2003-03-02,-36.6,Мин. температура
1802,25121,2003-03-29,-25.6,Мин. температура
1802,25121,2003-04-03,-27.7,Мин. температура
1802,25121,2003-04-16,-16.4,Макс. температура
1802,25121,2003-04-26,-9.0,Макс. температура
1802,25121,2003-05-26,-2.2,Мин. температура
1802,25121,2003-05-30,-1.6,Макс. температура
1802,25121,2003-06-07,-0.1,Мин. температура
1802,25121,2003-07-05,8.0,Мин. температура
1802,25121,2003-07-26,21.8,Макс. температура
1802,25121,2003-10-10,-1.6,Макс. температура
1802,25121,2003-11-01,-8.8,Макс. температура
1802,25121,2003-11-05,-11.0,Макс. температура
1802,25121,2003-12-05,-37.3,Мин. температура
1802,25121,2004-03-10,-25.4,Макс. температура
1802,25121,2004-04-29,-5.0,Макс. температура
1802,25121,2004-05-19,-3.8,Макс. температура
1802,25121,2004-05-23,2.5,Макс. температура
1802,25121,2004-06-11,22.6,Макс. температура
1802,25121,2004-06-18,5.8,Мин. температура
1802,25121,2004-07-18,2.9,Мин. температура
1802,25121,2004-08-12,12.6,Мин. температура
1802,25121,2004-12-05,-33.5,Мин. температура
1802,25121,2004-12-06,-27.8,Макс. температура
1802,25121,2004-12-28,-34.1,Макс. температура
1802,25121,1995-01-07,-26.9,Мин. температура
1802,25121,1995-01-24,-35.9,Макс. температура
1802,25121,1995-02-08,-25.0,Мин. температура
1802,25121,1995-03-02,-31.3,Макс. температура
1802,25121,1995-04-14,-25.5,Мин. температура
1802,25121,1995-04-18,-13.9,Макс. температура
1802,25121,1995-05-06,-11.2,Мин. температура
1802,25121,1995-07-28,10.5,Мин. температура
1802,25121,1995-07-31,5.5,Мин. температура
1802,25121,1995-08-07,17.3,Макс. температура
1802,25121,1995-09-03,0.4,Мин. температура
1802,25121,1995-10-07,-6.1,Мин. температура
1802,25121,1997-08-05,18.3,Макс. температура
1802,25121,1997-08-18,1.8,Мин. температура
1802,25121,1997-09-12,4.6,Макс. температура
1802,25121,1997-10-03,-6.9,Мин. температура
1802,25121,1997-10-18,-4.5,Макс. температура
1802,25121,1997-10-31,-15.9,Мин. температура
1802,25121,1997-11-23,-30.2,Мин. температура
1802,25121,1997-12-14,-47.6,Мин. температура
1802,25121,1997-12-23,-33.6,Макс. температура
1802,25121,1998-02-21,-40.2,Мин. температура
1802,25121,1998-04-06,-29.8,Мин. температура
1802,25121,1998-04-09,-17.0,Макс. температура
1802,25121,1998-06-13,11.0,Макс. температура
1802,25121,1998-07-05,4.0,Мин. температура
1802,25121,1998-08-07,6.7,Мин. температура
1802,25121,1998-08-15,1.0,Мин. температура
1802,25121,1998-08-22,2.0,Макс. температура
1802,25121,1998-10-29,-20.0,Мин. температура
1802,25121,1998-12-29,-24.8,Макс. температура
1802,25121,1999-01-02,-34.2,Макс. температура
1802,25121,1999-01-22,-36.9,Макс. температура
1802,25121,1999-01-31,-27.0,Макс. температура
1802,25121,1999-02-02,-32.8,Макс. температура
1802,25121,1999-02-25,-37.2,Макс. температура
1802,25121,1999-03-08,-25.6,Мин. температура
1802,25121,1999-03-22,-32.3,Макс. температура
1802,25121,1999-04-25,-5.8,Макс. температура
1802,25121,1999-05-24,-0.8,Макс. температура
1802,25121,1999-07-09,8.2,Мин. температура
1802,25121,1999-08-16,10.0,Макс. температура
1802,25121,1999-09-06,2.6,Мин. температура
1802,25121,1999-12-03,-34.6,Мин. температура
1802,25121,1999-12-05,-40.1,Мин. температура
1802,25121,1999-12-21,-18.1,Макс. температура
1802,25121,1999-12-26,-31.1,Макс. температура
1802,25121,2000-01-06,-31.0,Мин. температура
1802,25121,2000-03-08,-32.0,Мин. температура
1802,25121,2000-03-17,-21.0,Макс. температура
1802,25121,2000-03-25,-33.4,Мин. температура
1802,25121,2000-04-01,-17.3,Макс. температура
1802,25121,2000-04-11,-7.5,Мин. температура
1802,25121,2000-06-05,16.1,Макс. температура
1802,25121,2000-06-09,14.1,Макс. температура
1802,25121,2000-07-08,1.8,Мин. температура
1802,25121,2000-07-12,23.9,Макс. температура
1802,25121,2000-07-20,22.2,Макс. температура
1802,25121,2000-07-22,17.0,Макс. температура
1802,25121,2000-08-20,4.2,Мин. температура
1802,25121,2000-10-20,-14.5,Макс. температура
1802,25121,2000-11-14,-28.2,Мин. температура
1802,25121,2000-12-01,-41.4,Мин. температура
1802,25121,2000-12-09,-14.3,Макс. температура
1802,25121,2000-12-14,-33.3,Мин. температура
1802,25121,2001-01-21,-38.4,Мин. температура
1802,25121,2001-02-07,-19.8,Макс. температура
1802,25121,2001-04-04,-36.0,Мин. температура
1802,25121,2001-04-11,-14.7,Макс. температура
1802,25121,2001-05-18,8.2,Макс. температура
1802,25121,2001-06-12,-1.0,Мин. температура
1802,25121,2001-07-11,10.1,Мин. температура
1802,25121,2001-07-27,21.3,Макс. температура
1802,25121,2001-08-07,5.4,Мин. температура
1802,25121,2001-08-22,6.2,Мин. температура
1802,25121,2001-09-06,2.3,Мин. температура
1802,25121,2001-11-07,-14.2,Макс. температура
1802,25121,2001-11-30,-14.0,Макс. температура
1802,25121,2002-02-09,-54.3,Мин. температура
1802,25121,2002-03-06,-9.0,Макс. температура
1802,25121,2002-03-12,-22.2,Мин. температура
1802,25121,2002-03-28,-21.8,Мин. температура
1802,25121,2002-07-31,17.4,Макс. температура
1802,25121,2002-08-28,2.3,Мин. температура
1802,25121,2002-08-29,5.7,Мин. температура
1802,25121,2002-10-03,-5.2,Мин. температура
1802,25121,2002-10-26,-11.2,Макс. температура
1802,25121,2002-11-10,-12.4,Макс. температура
1802,25121,2002-11-13,-24.0,Мин. температура
1802,25121,2002-11-25,-29.0,Мин. температура
1802,25121,2003-01-19,-27.2,Мин. температура
1802,25121,2003-01-23,-12.4,Макс. температура
1802,25121,2003-02-03,-41.1,Мин. температура
1802,25121,2003-03-27,-29.1,Мин. температура
1802,25121,2003-06-01,9.6,Макс. температура
1802,25121,2003-07-25,10.6,Мин. температура
1802,25121,2003-08-02,5.1,Мин. температура
1802,25121,2003-08-21,5.2,Мин. температура
1802,25121,2003-08-30,10.9,Макс. температура
1802,25121,2003-11-04,-13.2,Мин. температура
1802,25121,2003-12-21,-43.2,Мин. температура
1802,25121,2004-01-08,-14.8,Макс. температура
1802,25121,2004-02-11,-41.9,Мин. температура
1802,25121,2004-02-13,-29.8,Макс. температура
1802,25121,2004-03-28,-28.8,Мин. температура
1802,25121,2004-04-28,-17.8,Мин. температура
1802,25121,2004-06-30,4.8,Мин. температура
1802,25121,2004-07-09,10.2,Мин. температура
1802,25121,2004-08-29,3.6,Мин. температура
1802,25121,2004-09-12,3.8,Мин. температура
1802,25121,1995-02-21,-30.1,Мин. температура
1802,25121,1995-03-16,-17.4,Макс. температура
1802,25121,1995-04-04,-16.8,Макс. температура
1802,25121,1995-05-13,-9.6,Мин. температура
1802,25121,1995-06-13,10.2,Макс. температура
1802,25121,1995-06-27,17.1,Макс. температура
1802,25121,1995-07-12,6.0,Мин. температура
1802,25121,1995-09-13,2.3,Мин. температура
1802,25121,1995-12-09,-34.6,Мин. температура
1802,25121,1995-12-25,-43.1,Мин. температура
1802,25121,1995-12-26,-32.8,Макс. температура
1802,25121,1997-08-19,23.4,Макс. температура
1802,25121,1997-08-31,-2.0,Мин. температура
1802,25121,1997-09-08,12.3,Макс. температура
1802,25121,1997-09-13,3.3,Макс. температура
1802,25121,1997-11-09,-17.5,Мин. температура
1802,25121,1997-11-14,-27.4,Мин. температура
1802,25121,1998-01-02,-29.7,Мин. температура
1802,25121,1998-01-07,-25.1,Макс. температура
1802,25121,1998-01-13,-35.8,Мин. температура
1802,25121,1998-01-23,-44.7,Мин. температура
1802,25121,1998-02-12,-32.2,Макс. температура
1802,25121,1998-02-15,-43.0,Мин. температура
1802,25121,1998-03-01,-33.1,Макс. температура
1802,25121,1998-04-10,-15.5,Макс. температура
1802,25121,1998-05-12,-13.8,Мин. температура
1802,25121,1998-05-13,-6.0,Макс. температура
1802,25121,1998-07-04,18.8,Макс. температура
1802,25121,1998-07-15,3.6,Мин. температура
1802,25121,1998-07-22,2.8,Мин. температура
1802,25121,1998-08-13,1.5,Мин. температура
1802,25121,1998-10-12,-12.6,Мин. температура
1802,25121,1998-12-02,-33.3,Макс. температура
1802,25121,1998-12-04,-40.8,Мин. температура
1802,25121,1999-02-14,-43.8,Мин. температура
1802,25121,1999-02-28,-43.3,Мин. температура
1802,25121,1999-03-24,-21.1,Макс. температура
1802,25121,1999-04-01,-35.5,Мин. температура
1802,25121,1999-05-16,-15.9,Мин. температура
1802,25121,1999-06-05,-7.4,Мин. температура
1802,25121,1999-06-25,28.0,Макс. температура
1802,25121,1999-09-09,7.9,Макс. температура
1802,25121,1999-09-20,-1.5,Мин. температура
1802,25121,1999-09-27,-4.0,Мин. температура
1802,25121,1999-11-07,-31.5,Мин. температура
1802,25121,1999-12-15,-18.6,Макс. температура
1802,25121,2000-02-19,-31.3,Мин. температура
1802,25121,2000-04-27,-20.6,Мин. температура
1802,25121,2000-05-07,0.7,Макс. температура
1802,25121,2000-06-26,12.6,Макс. температура
1802,25121,2000-07-18,19.0,Макс. температура
1802,25121,2000-09-04,6.9,Макс. температура
1802,25121,2000-09-07,-0.9,Мин. температура
1802,25121,2000-09-09,3.0,Мин. температура
1802,25121,2000-11-08,-22.9,Мин. температура
1802,25121,2001-01-30,-26.8,Макс. температура
1802,25121,2001-01-31,-34.0,Мин. температура
1802,25121,2001-02-11,-34.3,Мин. температура
1802,25121,2001-04-17,-5.0,Макс. температура
1802,25121,2001-05-23,-0.9,Мин. температура
1802,25121,2001-07-13,6.0,Мин. температура
1802,25121,2001-07-20,6.9,Мин. температура
1802,25121,2001-09-14,-3.0,Мин. температура
1802,25121,2001-10-02,-6.3,Мин. температура
1802,25121,2001-10-12,-10.3,Мин. температура
1802,25121,2001-12-17,-40.0,Мин. температура
1802,25121,2002-01-22,-31.8,Макс. температура
1802,25121,2002-01-26,-30.8,Макс. температура
1802,25121,2002-01-30,-40.6,Макс. температура
1802,25121,2002-02-16,-35.7,Макс. температура
1802,25121,2002-04-17,-26.5,Макс. температура
1802,25121,2002-05-24,-0.2,Мин. температура
1802,25121,2002-06-01,-3.0,Мин. температура
1802,25121,2002-07-04,7.5,Макс. температура
1802,25121,2002-08-13,5.7,Мин. температура
1802,25121,2002-09-01,17.2,Макс. температура
1802,25121,2002-09-23,4.7,Макс. температура
1802,25121,2002-09-29,0.3,Макс. температура
1802,25121,2002-10-23,-12.6,Мин. температура
1802,25121,2002-11-29,-29.7,Макс. температура
1802,25121,2002-12-11,-17.5,Мин. температура
1802,25121,2002-12-29,-34.7,Макс. температура
1802,25121,2003-01-26,-23.4,Макс. температура
1802,25121,2003-05-04,0.3,Мин. температура
1802,25121,2003-05-05,-2.5,Мин. температура
1802,25121,2003-05-19,-0.4,Мин. температура
1802,25121,2003-07-21,18.3,Макс. температура
1802,25121,2003-07-27,14.0,Макс. температура
1802,25121,2003-08-23,7.7,Макс. температура
1802,25121,2003-09-12,1.8,Мин. температура
1802,25121,2003-10-09,-5.9,Мин. температура
1802,25121,2003-11-28,-33.8,Макс. температура
1802,25121,2003-12-23,-42.9,Мин. температура
1802,25121,2004-02-08,-47.8,Мин. температура
1802,25121,2004-04-09,-14.1,Макс. температура
1802,25121,2004-04-28,-11.0,Макс. температура
1802,25121,2004-05-31,8.2,Макс. температура
1802,25121,2004-06-22,7.2,Макс. температура
1802,25121,2004-07-02,12.5,Мин. температура
1802,25121,2004-07-10,25.2,Макс. температура
1802,25121,2004-07-22,17.4,Макс. температура
1802,25121,2004-09-13,3.5,Мин. температура
1802,25121,2004-09-30,5.1,Макс. температура
1802,25121,2004-10-13,-13.4,Мин. температура
1802,25121,2004-11-04,-28.0,Мин. температура
1802,25121,2004-12-19,-40.3,Мин. температура
1802,25121,2004-12-22,-33.4,Мин. температура
1802,25121,1995-01-07,-24.3,Макс. температура
1802,25121,1995-01-22,-38.6,Макс. температура
1802,25121,1995-02-17,-3.0,Макс. температура
1802,25121,1995-02-25,-37.0,Мин. температура
1802,25121,1995-03-03,-28.4,Макс. температура
1802,25121,1995-03-29,-14.5,Макс. температура
1802,25121,1995-04-04,-29.2,Мин. температура
1802,25121,1995-04-11,-20.4,Макс. температура
1802,25121,1995-04-20,-14.8,Макс. температура
1802,25121,1995-05-08,-12.8,Мин. температура
1802,25121,1995-06-03,-2.7,Мин. температура
1802,25121,1995-07-01,6.4,Мин. температура
1802,25121,1995-07-24,19.0,Макс. температура
1802,25121,1995-08-02,16.0,Макс. температура
1802,25121,1995-08-09,23.8,Макс. температура
1802,25121,1995-08-15,3.7,Мин. температура
1802,25121,1995-08-30,4.6,Мин. температура
1802,25121,1995-09-02,7.1,Макс. температура
1802,25121,1995-09-20,2.6,Макс. температура
1802,25121,1995-10-20,-3.3,Макс. температура
1802,25121,1995-11-15,-25.3,Мин. температура
1802,25121,1995-12-24,-43.8,Мин. температура
1802,25121,1997-08-01,5.9,Мин. температура
